Abu Dhabi Commercial Bank (ADCB)
Account Holder: Karim Mansour
Card Number: 4521-XXXX-XXXX-8829
Statement Period: 01 Sep 2025 to 31 May 2026
Currency: AED
Opening Balance: 0.00

Transaction Date,Value Date,Description,Reference No,Debit (AED),Credit (AED),Balance (AED)
17/10/2025,17/10/2025,TIM HORTONS MIRDIF,TXN24537657,31.21,,2048.97
17/10/2025,17/10/2025,ENOC AL BARSHA,TXN61930323,246.34,,2295.31
17/10/2025,17/10/2025,RTA SALIK TOLL,TXN20233067,4.00,,2299.31
18/10/2025,18/10/2025,ENOC AL BARSHA,TXN15608864,248.04,,2547.35
18/10/2025,18/10/2025,UBER B.V. DUBAI,TXN36098572,45.76,,2593.11
18/10/2025,18/10/2025,BIN SINA PHARMACY MOE,TXN94216826,115.68,,2708.79
18/10/2025,18/10/2025,LINKEDIN PREMIUM CAREER,TXN13360434,99.00,,2807.79
19/10/2025,19/10/2025,CAREEM NETWORKS DUBAI,TXN29418693,40.48,,2848.27
20/10/2025,20/10/2025,RTA SALIK TOLL,TXN33750581,4.00,,2852.27
20/10/2025,20/10/2025,RTA SALIK TOLL,TXN57085028,4.00,,2856.27
21/10/2025,21/10/2025,RTA SALIK TOLL,TXN10235194,4.00,,2860.27
21/10/2025,21/10/2025,RTA SALIK TOLL,TXN31003860,4.00,,2864.27
21/10/2025,21/10/2025,RTA SALIK TOLL,TXN24597160,4.00,,2868.27
21/10/2025,21/10/2025,PAYMENT RECEIVED - THANK YOU,TXN57578565,,7315.38,-4447.11
22/10/2025,22/10/2025,SPINNEYS DUBAI MARINA,TXN31253986,230.14,,-4216.97
22/10/2025,22/10/2025,TEXAS ROADHOUSE JBR,TXN10249447,215.02,,-4001.95
23/10/2025,23/10/2025,PARKIN DUBAI,TXN59376128,16.14,,-3985.81
24/10/2025,24/10/2025,PF CHANGS DIFC,TXN25814284,126.93,,-3858.88
24/10/2025,24/10/2025,RTA SALIK TOLL,TXN21293389,4.00,,-3854.88
25/10/2025,25/10/2025,RTA SALIK TOLL,TXN46564788,4.00,,-3850.88
26/10/2025,26/10/2025,RTA SALIK TOLL,TXN81374654,4.00,,-3846.88
26/10/2025,26/10/2025,RTA SALIK TOLL,TXN28414338,4.00,,-3842.88
26/10/2025,26/10/2025,GLOBAL VILLAGE TICKETS,TXN90687312,333.57,,-3509.31
27/10/2025,27/10/2025,RTA SALIK TOLL,TXN97472826,4.00,,-3505.31
28/10/2025,28/10/2025,DELIVEROO UAE,TXN43638581,132.37,,-3372.94
30/10/2025,30/10/2025,TEXAS ROADHOUSE JBR,TXN25677591,284.43,,-3088.51
30/10/2025,30/10/2025,RTA SALIK TOLL,TXN78479872,4.00,,-3084.51
30/10/2025,30/10/2025,RTA SALIK TOLL,TXN38354028,4.00,,-3080.51
31/10/2025,31/10/2025,TALABAT.COM DUBAI,TXN48774193,70.71,,-3009.80
31/10/2025,31/10/2025,TIM HORTONS MIRDIF,TXN25568427,25.19,,-2984.61
01/11/2025,01/11/2025,CHOITHRAMS JVC,TXN86155157,594.23,,-2390.38
01/11/2025,01/11/2025,CAREEM NOW DUBAI,TXN12362405,162.66,,-2227.72
02/11/2025,02/11/2025,CAREEM NOW DUBAI,TXN80960647,150.99,,-2076.73
02/11/2025,02/11/2025,RTA SALIK TOLL,TXN27885257,4.00,,-2072.73
02/11/2025,02/11/2025,RTA SALIK TOLL,TXN38742313,4.00,,-2068.73
04/11/2025,04/11/2025,CAREEM NOW DUBAI,TXN78330617,106.91,,-1961.82
05/11/2025,05/11/2025,CAFE NERO MOE,TXN64049171,25.23,,-1936.59
05/11/2025,05/11/2025,RTA SALIK TOLL,TXN95438666,4.00,,-1932.59
05/11/2025,05/11/2025,BIN SINA PHARMACY MOE,TXN18832998,185.70,,-1746.89
05/11/2025,05/11/2025,NETFLIX.COM PREMIUM,TXN40480829,56.00,,-1690.89
05/11/2025,05/11/2025,AMAZON PRIME UAE,TXN60324648,16.00,,-1674.89
06/11/2025,06/11/2025,RTA SALIK TOLL,TXN27727371,4.00,,-1670.89
06/11/2025,06/11/2025,NOON.COM VIP MEMBERSHIP,TXN25278675,7.50,,-1663.39
07/11/2025,07/11/2025,RTA SALIK TOLL,TXN27548491,4.00,,-1659.39
07/11/2025,07/11/2025,NOON.COM,TXN34800313,337.94,,-1321.45
07/11/2025,07/11/2025,VOX CINEMAS MOE,TXN33484913,184.21,,-1137.24
08/11/2025,08/11/2025,SPOTIFY AB FAMILY PLAN,TXN39004202,29.90,,-1107.34
08/11/2025,08/11/2025,PLAY CITY DUBAI MARINA BIRTHDAY PACKAGE,TXN80079168,1850.00,,742.66
08/11/2025,08/11/2025,TOYS R US DUBAI MALL,TXN99215862,620.00,,1362.66
09/11/2025,09/11/2025,MERAAS PARKING,TXN60669311,25.97,,1388.63
10/11/2025,10/11/2025,LULU HYPERMARKET JVC,TXN37481909,523.84,,1912.47
11/11/2025,11/11/2025,RTA SALIK TOLL,TXN75621662,4.00,,1916.47
12/11/2025,12/11/2025,RTA SALIK TOLL,TXN81447513,4.00,,1920.47
12/11/2025,12/11/2025,DISNEY PLUS UAE,TXN72282275,39.99,,1960.46
12/11/2025,12/11/2025,OSN STREAMING ARABIC,TXN75166215,99.00,,2059.46
13/11/2025,13/11/2025,STARBUCKS JVC,TXN63104400,25.23,,2084.69
14/11/2025,14/11/2025,OPERATION FALAFEL JVC,TXN16186663,101.39,,2186.08
14/11/2025,14/11/2025,EPPCO JEBEL ALI,TXN48804281,230.82,,2416.90
14/11/2025,14/11/2025,RTA SALIK TOLL,TXN11601630,4.00,,2420.90
15/11/2025,15/11/2025,CAREEM NETWORKS DUBAI,TXN58262706,34.36,,2455.26
15/11/2025,15/11/2025,APPLE ICLOUD PLUS FAMILY,TXN50926383,11.49,,2466.75
17/11/2025,17/11/2025,RTA SALIK TOLL,TXN33002231,4.00,,2470.75
17/11/2025,17/11/2025,CAREEM NETWORKS DUBAI,TXN48412091,35.82,,2506.57
18/11/2025,18/11/2025,COSTA COFFEE MOE,TXN62003728,21.54,,2528.11
18/11/2025,18/11/2025,RTA SALIK TOLL,TXN79740974,4.00,,2532.11
18/11/2025,18/11/2025,LINKEDIN PREMIUM CAREER,TXN53624002,99.00,,2631.11
19/11/2025,19/11/2025,TIM HORTONS MIRDIF,TXN48503818,44.25,,2675.36
20/11/2025,20/11/2025,SPINNEYS DUBAI MARINA,TXN30446798,472.24,,3147.60
20/11/2025,20/11/2025,RTA SALIK TOLL,TXN44354402,4.00,,3151.60
21/11/2025,21/11/2025,SMILES BY ETISALAT,TXN28835729,74.22,,3225.82
21/11/2025,21/11/2025,RTA SALIK TOLL,TXN70029008,4.00,,3229.82
22/11/2025,22/11/2025,PAYMENT RECEIVED - THANK YOU,TXN67774778,,6942.26,-3712.44
23/11/2025,23/11/2025,EPPCO JEBEL ALI,TXN46098000,199.13,,-3513.31
24/11/2025,24/11/2025,UBER B.V. DUBAI,TXN19454289,52.78,,-3460.53
26/11/2025,26/11/2025,RTA SALIK TOLL,TXN95239113,4.00,,-3456.53
26/11/2025,26/11/2025,RTA SALIK TOLL,TXN31021022,4.00,,-3452.53
27/11/2025,27/11/2025,LULU HYPERMARKET JVC,TXN92430404,487.46,,-2965.07
27/11/2025,27/11/2025,TIM HORTONS MIRDIF,TXN94297440,20.28,,-2944.79
28/11/2025,28/11/2025,TALABAT.COM DUBAI,TXN75797118,92.38,,-2852.41
28/11/2025,28/11/2025,STARBUCKS JVC,TXN51664608,25.21,,-2827.20
29/11/2025,29/11/2025,SPINNEYS DUBAI MARINA,TXN44240516,421.24,,-2405.96
29/11/2025,29/11/2025,TIM HORTONS MIRDIF,TXN94914852,44.03,,-2361.93
29/11/2025,29/11/2025,RTA SALIK TOLL,TXN69671446,4.00,,-2357.93
29/11/2025,29/11/2025,RTA SALIK TOLL,TXN64212727,4.00,,-2353.93
01/12/2025,01/12/2025,RTA SALIK TOLL,TXN63833579,4.00,,-2349.93
01/12/2025,01/12/2025,RTA SALIK TOLL,TXN15302065,4.00,,-2345.93
01/12/2025,01/12/2025,MERAAS PARKING,TXN47032362,19.47,,-2326.46
02/12/2025,02/12/2025,RTA SALIK TOLL,TXN72683841,4.00,,-2322.46
03/12/2025,03/12/2025,CARREFOUR HYPERMARKET MOE,TXN21838188,363.01,,-1959.45
04/12/2025,04/12/2025,TALABAT.COM DUBAI,TXN40053088,118.33,,-1841.12
04/12/2025,04/12/2025,NETFLIX.COM PREMIUM,TXN92299544,56.00,,-1785.12
05/12/2025,05/12/2025,UNION COOP AL BARSHA,TXN40542322,321.86,,-1463.26
05/12/2025,05/12/2025,EPPCO JEBEL ALI,TXN62514890,185.36,,-1277.90
05/12/2025,05/12/2025,EPPCO JEBEL ALI,TXN16903388,195.39,,-1082.51
05/12/2025,05/12/2025,AMAZON PRIME UAE,TXN98815688,16.00,,-1066.51
06/12/2025,06/12/2025,UNION COOP AL BARSHA,TXN58521405,549.69,,-516.82
06/12/2025,06/12/2025,STARBUCKS JVC,TXN55705413,44.53,,-472.29
07/12/2025,07/12/2025,OPERATION FALAFEL JVC,TXN12840819,297.26,,-175.03
07/12/2025,07/12/2025,RTA SALIK TOLL,TXN48204430,4.00,,-171.03
07/12/2025,07/12/2025,RTA SALIK TOLL,TXN87110232,4.00,,-167.03
07/12/2025,07/12/2025,RTA SALIK TOLL,TXN62892909,4.00,,-163.03
08/12/2025,08/12/2025,UBER B.V. DUBAI,TXN58922860,38.60,,-124.43
08/12/2025,08/12/2025,NOON.COM VIP MEMBERSHIP,TXN70850498,7.50,,-116.93
08/12/2025,08/12/2025,SPOTIFY AB FAMILY PLAN,TXN11442247,29.90,,-87.03
09/12/2025,09/12/2025,UBER B.V. DUBAI,TXN86615974,33.01,,-54.02
09/12/2025,09/12/2025,MERAAS PARKING,TXN65443007,23.66,,-30.36
09/12/2025,09/12/2025,BABYSHOP DUBAI,TXN16453315,208.44,,178.08
09/12/2025,09/12/2025,DISNEY PLUS UAE,TXN55334121,39.99,,218.07
10/12/2025,10/12/2025,WEST ZONE SUPERMARKET JVC,TXN67329843,659.16,,877.23
10/12/2025,10/12/2025,CAFE NERO MOE,TXN45561174,23.94,,901.17
10/12/2025,10/12/2025,RTA SALIK TOLL,TXN39532669,4.00,,905.17
11/12/2025,11/12/2025,KIDZANIA DUBAI MALL,TXN40638780,211.17,,1116.34
12/12/2025,12/12/2025,ADNOC SERVICE STATION SHEIKH ZAYED,TXN37290373,204.11,,1320.45
12/12/2025,12/12/2025,RTA SALIK TOLL,TXN78295787,4.00,,1324.45
12/12/2025,12/12/2025,REEL CINEMAS DUBAI MALL,TXN72493011,187.76,,1512.21
13/12/2025,13/12/2025,PARKIN DUBAI,TXN90745957,10.60,,1522.81
13/12/2025,13/12/2025,MERAAS PARKING,TXN32372610,21.10,,1543.91
14/12/2025,14/12/2025,OSN STREAMING ARABIC,TXN62170303,99.00,,1642.91
14/12/2025,14/12/2025,APPLE ICLOUD PLUS FAMILY,TXN82985749,11.49,,1654.40
15/12/2025,15/12/2025,UNION COOP AL BARSHA,TXN74981679,504.14,,2158.54
16/12/2025,16/12/2025,SHARAF DG ONLINE,TXN72361418,444.83,,2603.37
16/12/2025,16/12/2025,LINKEDIN PREMIUM CAREER,TXN24665960,99.00,,2702.37
17/12/2025,17/12/2025,CAFE NERO MOE,TXN11363139,31.90,,2734.27
17/12/2025,17/12/2025,CAFE NERO MOE,TXN93732107,31.72,,2765.99
18/12/2025,18/12/2025,RTA SALIK TOLL,TXN90570186,4.00,,2769.99
19/12/2025,19/12/2025,CHOITHRAMS JVC,TXN63858734,333.24,,3103.23
19/12/2025,19/12/2025,STARBUCKS JVC,TXN47759351,30.52,,3133.75
20/12/2025,20/12/2025,CARREFOUR HYPERMARKET MOE,TXN44174538,502.81,,3636.56
20/12/2025,20/12/2025,ZOMATO UAE,TXN48430671,112.83,,3749.39
21/12/2025,21/12/2025,CHOITHRAMS JVC,TXN63622581,645.20,,4394.59
21/12/2025,21/12/2025,FLYDUBAI TICKETS GEORGIA FAMILY,TXN90241687,3850.00,,8244.59
21/12/2025,21/12/2025,PAYMENT RECEIVED - THANK YOU,TXN50957058,,6529.29,1715.30
22/12/2025,22/12/2025,DELIVEROO UAE,TXN16016998,77.93,,1793.23
22/12/2025,22/12/2025,STARBUCKS JVC,TXN42757085,35.84,,1829.07
22/12/2025,22/12/2025,PARKIN DUBAI,TXN71682740,17.16,,1846.23
23/12/2025,23/12/2025,ZOMATO UAE,TXN33963693,162.76,,2008.99
23/12/2025,23/12/2025,BOOKING.COM TBILISI HOTEL 4 NIGHTS,TXN13572514,1980.00,,3988.99
25/12/2025,25/12/2025,MERAAS PARKING,TXN52060866,19.47,,4008.46
25/12/2025,25/12/2025,MAX FASHION MIRDIF,TXN65985879,325.34,,4333.80
25/12/2025,25/12/2025,BOLT TBILISI,TXN82396205,145.00,,4478.80
26/12/2025,26/12/2025,TALABAT.COM DUBAI,TXN42770765,57.07,,4535.87
27/12/2025,27/12/2025,RTA SALIK TOLL,TXN27109223,4.00,,4539.87
28/12/2025,28/12/2025,CARREFOUR HYPERMARKET MOE,TXN66489437,675.91,,5215.78
29/12/2025,29/12/2025,ZOMATO UAE,TXN62208722,158.63,,5374.41
31/12/2025,31/12/2025,RTA SALIK TOLL,TXN10553951,4.00,,5378.41
01/01/2026,01/01/2026,FIRSTCRY.AE,TXN74076885,407.71,,5786.12
03/01/2026,03/01/2026,RTA SALIK TOLL,TXN55503697,4.00,,5790.12
03/01/2026,03/01/2026,RTA SALIK TOLL,TXN62170162,4.00,,5794.12
03/01/2026,03/01/2026,CARREFOUR ONLINE,TXN77621680,159.58,,5953.70
04/01/2026,04/01/2026,RTA SALIK TOLL,TXN89549189,4.00,,5957.70
04/01/2026,04/01/2026,NETFLIX.COM PREMIUM,TXN61247480,56.00,,6013.70
04/01/2026,04/01/2026,AMAZON PRIME UAE,TXN57502703,16.00,,6029.70
05/01/2026,05/01/2026,TIM HORTONS MIRDIF,TXN20708628,36.46,,6066.16
05/01/2026,05/01/2026,RTA SALIK TOLL,TXN64900957,4.00,,6070.16
06/01/2026,06/01/2026,OPERATION FALAFEL JVC,TXN50540066,118.91,,6189.07
06/01/2026,06/01/2026,NOON.COM VIP MEMBERSHIP,TXN83314443,7.50,,6196.57
07/01/2026,07/01/2026,SMILES BY ETISALAT,TXN17801037,91.49,,6288.06
07/01/2026,07/01/2026,RTA SALIK TOLL,TXN77050221,4.00,,6292.06
07/01/2026,07/01/2026,RTA SALIK TOLL,TXN85462230,4.00,,6296.06
08/01/2026,08/01/2026,COSTA COFFEE MOE,TXN80329766,27.02,,6323.08
08/01/2026,08/01/2026,RTA SALIK TOLL,TXN33480401,4.00,,6327.08
08/01/2026,08/01/2026,RTA SALIK TOLL,TXN15969938,4.00,,6331.08
08/01/2026,08/01/2026,EARLY LEARNING CENTRE MOE,TXN98773659,450.00,,6781.08
09/01/2026,09/01/2026,RTA SALIK TOLL,TXN43406752,4.00,,6785.08
09/01/2026,09/01/2026,SPOTIFY AB FAMILY PLAN,TXN86859251,29.90,,6814.98
10/01/2026,10/01/2026,TALABAT.COM DUBAI,TXN67814425,56.73,,6871.71
10/01/2026,10/01/2026,SMILES BY ETISALAT,TXN32940889,175.68,,7047.39
10/01/2026,10/01/2026,ENOC AL BARSHA,TXN34252300,255.68,,7303.07
10/01/2026,10/01/2026,RTA SALIK TOLL,TXN14548734,4.00,,7307.07
11/01/2026,11/01/2026,MERAAS PARKING,TXN87943077,11.44,,7318.51
11/01/2026,11/01/2026,DISNEY PLUS UAE,TXN94023265,39.99,,7358.50
12/01/2026,12/01/2026,RTA SALIK TOLL,TXN81502578,4.00,,7362.50
14/01/2026,14/01/2026,OPERATION FALAFEL JVC,TXN69259508,255.81,,7618.31
14/01/2026,14/01/2026,COSTA COFFEE MOE,TXN65005204,22.55,,7640.86
14/01/2026,14/01/2026,BIN SINA PHARMACY MOE,TXN86994165,47.37,,7688.23
14/01/2026,14/01/2026,OSN STREAMING ARABIC,TXN54591543,99.00,,7787.23
15/01/2026,15/01/2026,APPLE ICLOUD PLUS FAMILY,TXN43323512,11.49,,7798.72
16/01/2026,16/01/2026,WEST ZONE SUPERMARKET JVC,TXN92748429,468.98,,8267.70
16/01/2026,16/01/2026,COSTA COFFEE MOE,TXN76812242,26.96,,8294.66
16/01/2026,16/01/2026,TIM HORTONS MIRDIF,TXN21869890,18.48,,8313.14
16/01/2026,16/01/2026,LINKEDIN PREMIUM CAREER,TXN25085658,99.00,,8412.14
17/01/2026,17/01/2026,CAFE NERO MOE,TXN10899714,19.20,,8431.34
17/01/2026,17/01/2026,CAFE NERO MOE,TXN13483487,21.69,,8453.03
17/01/2026,17/01/2026,UBER B.V. DUBAI,TXN86333653,44.53,,8497.56
19/01/2026,19/01/2026,CARREFOUR HYPERMARKET MOE,TXN79474561,620.89,,9118.45
19/01/2026,19/01/2026,RTA SALIK TOLL,TXN90331926,4.00,,9122.45
19/01/2026,19/01/2026,BABYSHOP DUBAI,TXN77079380,412.24,,9534.69
19/01/2026,19/01/2026,BOOTS PHARMACY MOE,TXN64708089,93.73,,9628.42
20/01/2026,20/01/2026,ZOMATO UAE,TXN99802935,159.67,,9788.09
21/01/2026,21/01/2026,RTA SALIK TOLL,TXN13006065,4.00,,9792.09
21/01/2026,21/01/2026,PAYMENT RECEIVED - THANK YOU,TXN13952661,,6182.74,3609.35
22/01/2026,22/01/2026,CHOITHRAMS JVC,TXN33631177,570.65,,4180.00
22/01/2026,22/01/2026,ASTER PHARMACY JVC,TXN78374563,168.50,,4348.50
24/01/2026,24/01/2026,LIFE PHARMACY DUBAI MARINA,TXN27148943,144.01,,4492.51
25/01/2026,25/01/2026,UBER B.V. DUBAI,TXN32431265,61.66,,4554.17
27/01/2026,27/01/2026,BABYSHOP DUBAI,TXN11672453,150.29,,4704.46
28/01/2026,28/01/2026,CAREEM NOW DUBAI,TXN76201502,75.17,,4779.63
29/01/2026,29/01/2026,RTA SALIK TOLL,TXN12266713,4.00,,4783.63
30/01/2026,30/01/2026,AUTOMATIC RESTAURANT,TXN21741106,175.38,,4959.01
30/01/2026,30/01/2026,RTA SALIK TOLL,TXN94350774,4.00,,4963.01
30/01/2026,30/01/2026,RTA SALIK TOLL,TXN66954061,4.00,,4967.01
30/01/2026,30/01/2026,CAREEM NETWORKS DUBAI,TXN92763488,60.12,,5027.13
31/01/2026,31/01/2026,RTA SALIK TOLL,TXN29432096,4.00,,5031.13
01/02/2026,01/02/2026,ADNOC SERVICE STATION SHEIKH ZAYED,TXN92914505,193.92,,5225.05
01/02/2026,01/02/2026,ADNOC SERVICE STATION SHEIKH ZAYED,TXN79974269,231.46,,5456.51
02/02/2026,02/02/2026,TALABAT.COM DUBAI,TXN45049910,108.10,,5564.61
02/02/2026,02/02/2026,PF CHANGS DIFC,TXN51941310,173.25,,5737.86
02/02/2026,02/02/2026,NOON.COM,TXN35004522,190.41,,5928.27
03/02/2026,03/02/2026,RTA SALIK TOLL,TXN76875826,4.00,,5932.27
03/02/2026,03/02/2026,PARKIN DUBAI,TXN79319915,26.48,,5958.75
05/02/2026,05/02/2026,TEXAS ROADHOUSE JBR,TXN29251274,310.00,,6268.75
05/02/2026,05/02/2026,RTA SALIK TOLL,TXN16870286,4.00,,6272.75
05/02/2026,05/02/2026,NETFLIX.COM PREMIUM,TXN60914754,56.00,,6328.75
05/02/2026,05/02/2026,AMAZON PRIME UAE,TXN30571340,16.00,,6344.75
06/02/2026,06/02/2026,TALABAT.COM DUBAI,TXN47114323,66.73,,6411.48
06/02/2026,06/02/2026,TEXAS ROADHOUSE JBR,TXN45759511,260.90,,6672.38
06/02/2026,06/02/2026,RTA SALIK TOLL,TXN39165410,4.00,,6676.38
06/02/2026,06/02/2026,NOON.COM VIP MEMBERSHIP,TXN18415278,7.50,,6683.88
07/02/2026,07/02/2026,RTA SALIK TOLL,TXN72680196,4.00,,6687.88
07/02/2026,07/02/2026,RTA SALIK TOLL,TXN68926019,4.00,,6691.88
07/02/2026,07/02/2026,RTA SALIK TOLL,TXN46667293,4.00,,6695.88
08/02/2026,08/02/2026,RTA SALIK TOLL,TXN67043950,4.00,,6699.88
